State,City Or County,Per capita income
Illinois,Danville,16476
Illinois,Chicago,36010
Illinois,Aurora,28483
Illinois,Round Lake (Round Lake Park),21585
Illinois,Rockford,28732
Illinois,Robbins,13955
Illinois,Carbondale,16439
New York,Buffalo,31542
New York,Bronx,17575
New York,Brooklyn,32274
New York,Bay Shore,31036
California,Ceres,18575
California,Modesto,23034
California,Oakland,32566
California,Ivanhoe,9915
California,Los Angeles,27987
California,Long Beach,27014
California,Richmond,25769
California,Fresno,20231
California,San Diego,33789
California,Santa Clarita,33879
California,Orinda,84985
California,Wilmington,16282
California,San Francisco,49986
California,Gilroy,29559
California,Canoga Park,28907
California,San Jose,34992
California,Yucaipa,26103
California,La Jolla,77816
California,Santa Maria,18509
California,Santa Rosa,29890
California,West Covina,24944
California,Stockton,19927
California,Sacramento,27071
California,Oceano,20725
California,Poway,40681
California,Vallejo,25945
California,Moreno Valley,17874
California,Palm Springs,38126
California,Palmdale,19438
California,Torrance,36876
Georgia,Kennesaw,31177
Georgia,Columbus,25224
Georgia,Vidalia,22624
Georgia,Conyers,17495
Georgia,Lagrange,19622
Georgia,Dublin,29834
Georgia,Atlanta,33693
Georgia,Savannah,22497
Georgia,Macon,24632
Georgia,Stockbridge,24456
Georgia,Augusta,25163
Georgia,Rochelle,12929
Georgia,Albany,18887
Georgia,Rockmart,16272
Texas,Houston,18813
Texas,San Antonio,27280
Texas,Desoto,29630
Texas,Amarillo,27948
Texas,Nacogdoches,20757
Texas,San Angelo,26602
Texas,Greenville,21188
Texas,Port Arthur,18471
Texas,El Paso,22777
Texas,Beaumont,26441
Texas,Odessa,24264
Texas,Lubbock,25720
Texas,Katy,31617
Texas,Dallas,26185
Texas,Austin,42923
Texas,Cleveland,18165
Texas,Corpus Christi,27128
Texas,Henderson,20594
Texas,Livingston,20154
Florida,Saint Petersburg,31724
Florida,Pensacola,29302
Florida,Brownsville,12385
Florida,Belle Glade,13321
Florida,Tampa,30738
Florida,Jacksonville,31303
Florida,Miami,30408
Florida,Tallahassee,25471
Florida,Panama City,24732
Florida,Sebring,18807
Iowa,Coralville,38295
Iowa,Des Moines,35877
Iowa,Cedar Rapids,13979
Virginia,Richmond,34720
Virginia,Suffolk,30021
Virginia,Hampton,52021
Virginia,Portsmouth,24291
Virginia,Virginia Beach,32493
Virginia,La Crosse,20341
Virginia,Chesapeake,32123
Virginia,Petersburg,21992
Virginia,Hurt,22769
Louisiana,New Orleans,29166
Louisiana,Edgard,10635
Louisiana,Cotton Valley,12662
Louisiana,Cottonport,9507
Louisiana,Tallulah,14457
Louisiana,Baton Rouge,28872
Louisiana,Alexandria,21922
Louisiana,Marrero,19643
Louisiana,Lake Charles,38603
Louisiana,Gray,12676
Louisiana,Shreveport,23934
Louisiana,Reserve,13373
Louisiana,Saint Rose,14091
Louisiana,Gonzales,28277
North Carolina,High Point,25013
North Carolina,Raleigh,36054
North Carolina,Roxboro,17560
North Carolina,Whiteville,30634
North Carolina,Greensboro,27490
North Carolina,Rocky Mount,23320
North Carolina,Charlotte,33209
North Carolina,Winston Salem (Winston-salem),26668
Maryland,Baltimore,39217
